Player,Category,Role,BasePrice_Lakh,Set,Set_2026,Age
Chetan Sakariya,Indian,BOWLER,75,14,FA2,28
Chintal Gandhi,Indian,BOWLER,30,27,USP3,31
Chris Green,Overseas,ALL-ROUNDER,75,28,AL4,32
Connor Esterhuizen,Overseas,WICKETKEEPER,30,25,UWK3,24
Cooper Connolly,Overseas,ALL-ROUNDER,200,21,AL3,22
Daksh Kamra,Indian,ALL-ROUNDER,30,40,UAL8,23
Daniel Lategan,Overseas,BATTER,30,30,UBA4,19
Daniel Lawrence,Overseas,ALL-ROUNDER,200,21,AL3,28
Daniel Sams,Overseas,ALL-ROUNDER,100,12,AL2,33
Danish Malewar,Indian,BATTER,30,16,UBA2,22
Darshan Nalkande,Indian,ALL-ROUNDER,30,17,UAL2,27
Daryl Mitchell,Overseas,ALL-ROUNDER,200,12,AL2,34
Dasun Shanaka,Overseas,ALL-ROUNDER,75,12,AL2,34
David Miller,Overseas,BATTER,200,1,BA1,36
Deepak Hooda,Indian,ALL-ROUNDER,75,2,AL1,30
Deependra Singh,Indian,BOWLER,30,36,UFA5,20
Delano Potgieter,Overseas,ALL-ROUNDER,30,37,UAL6,29
Devon Conway,Overseas,BATTER,200,1,BA1,34
Dharmendrasinh Jadeja,Indian,BOWLER,30,27,USP3,35
Dhurmil Matkar,Indian,ALL-ROUNDER,30,42,UAL10,29
Dian Forrester,Overseas,ALL-ROUNDER,30,42,UAL10,25
Divesh Sharma,Indian,BOWLER,30,26,UFA3,24
Dunith Wellalage,Overseas,ALL-ROUNDER,75,28,AL4,23
Dwaine Pretorius,Overseas,ALL-ROUNDER,100,28,AL4,37
Eathan Bosch,Overseas,ALL-ROUNDER,75,28,AL4,27
Edhen Tom,Indian,ALL-ROUNDER,30,7,UAL1,20
Emanjot Chahal,Indian,ALL-ROUNDER,30,37,UAL6,21
Esakkimuthu Ayyakutti,Indian,BOWLER,30,32,UFA4,24
Fazalhaq Farooqi,Overseas,BOWLER,100,4,FA1,25
Finn Allen,Overseas,WICKETKEEPER,200,3,WK1,26
George Garton,Overseas,ALL-ROUNDER,75,28,AL4,28
George Linde,Overseas,ALL-ROUNDER,100,21,AL3,34
Gerald Coetzee,Overseas,BOWLER,200,4,FA1,25
Gulbadin Naib,Overseas,ALL-ROUNDER,100,21,AL3,34
Gus Atkinson,Overseas,ALL-ROUNDER,200,2,AL1,28
Hardik Raj,Indian,ALL-ROUNDER,30,37,UAL6,20
Hardik Tamore,Indian,WICKETKEEPER,30,25,UWK3,28
Harsh Tyagi,Indian,ALL-ROUNDER,30,17,UAL2,26
Hemang Patel,Indian,ALL-ROUNDER,30,40,UAL8,27
Himanshu Bisht,Indian,ALL-ROUNDER,30,39,UAL7,29
Himanshu Sharma,Indian,BOWLER,30,20,USP2,27
Hritik Shokeen,Indian,ALL-ROUNDER,30,24,UAL3,25
Irfan Umair,Indian,BOWLER,30,26,UFA3,29
Ishan Mulchandani,Indian,ALL-ROUNDER,30,41,UAL9,26
Ishan Porel,Indian,BOWLER,30,32,UFA4,27
Izaz Sawariya,Indian,BOWLER,30,33,USP4,20
Jack Edwards,Overseas,ALL-ROUNDER,50,42,UAL10,25
Jacob Duffy,Overseas,BOWLER,200,4,FA1,31
Jagadeesha Suchith,Indian,ALL-ROUNDER,30,24,UAL3,32
Jake Fraser-McGurk,Overseas,BATTER,200,1,BA1,23
Jalaj Saxena,Indian,ALL-ROUNDER,40,24,UAL3,39
Jamie Smith,Overseas,WICKETKEEPER,200,3,WK1,25
Jason Behrendorff,Overseas,BOWLER,150,29,FA4,35
Jason Holder,Overseas,ALL-ROUNDER,200,12,AL2,34
Jhathavedh Subramanyan,Indian,BOWLER,30,27,USP3,26
Jhye Richardson,Overseas,BOWLER,150,22,FA3,29
Jikku Bright,Indian,BOWLER,30,33,USP4,29
Joe Clarke,Overseas,WICKETKEEPER,50,25,UWK3,29
Jonny Bairstow,Overseas,WICKETKEEPER,100,3,WK1,36
Jordan Cox,Overseas,WICKETKEEPER,75,13,WK2,25
Josh Inglis,Overseas,WICKETKEEPER,200,13,WK2,31
Joshua Little,Overseas,BOWLER,75,34,FA5,26
Joshua Tongue,Overseas,BOWLER,100,29,FA4,28
K.Ajay Singh,Indian,ALL-ROUNDER,30,41,UAL9,32
K.C. Cariappa,Indian,BOWLER,30,20,USP2,31
K.L. Shrijith,Indian,WICKETKEEPER,30,25,UWK3,29
K.M Asif,Indian,BOWLER,40,19,UFA2,32
K.S. Bharat,Indian,WICKETKEEPER,75,3,WK1,32
Kamlesh Nagarkoti,Indian,ALL-ROUNDER,30,7,UAL1,26
Kanishk Chouhan,Indian,ALL-ROUNDER,30,39,UAL7,19
Karan Lal,Indian,ALL-ROUNDER,30,31,UAL4,25
Karn Sharma,Indian,BOWLER,50,10,USP1,38
Kartik Chadha,Indian,BOWLER,30,20,USP2,22
Kartik Sharma,Indian,WICKETKEEPER,30,8,UWK1,19
Kartik Tyagi,Indian,BOWLER,30,9,UFA1,25
Khilan Patel,Indian,ALL-ROUNDER,30,37,UAL6,19
Krains Fuletra,Indian,ALL-ROUNDER,30,35,UAL5,21
Krish Bhagat,Indian,ALL-ROUNDER,30,41,UAL9,21
Kuldeep Sen,Indian,BOWLER,75,14,FA2,29
Kuldip Yadav,Indian,BOWLER,30,26,UFA3,29
Kulwant Khejroliya,Indian,BOWLER,30,32,UFA4,34
Kumar Kartikeya Singh,Indian,BOWLER,30,10,USP1,28
Kunal Chandela,Indian,BATTER,30,23,UBA3,31
Kunal Rathore,Indian,WICKETKEEPER,30,18,UWK2,23
Kusal Mendis,Overseas,WICKETKEEPER,75,13,WK2,31
Kusal Perera,Overseas,WICKETKEEPER,100,13,WK2,35
Kyle Jamieson,Overseas,BOWLER,200,14,FA2,31
Kyle Mayers,Overseas,ALL-ROUNDER,125,28,AL4,33
Kyle Verreynne,Overseas,WICKETKEEPER,125,13,WK2,28
Lalit Yadav,Indian,ALL-ROUNDER,30,40,UAL8,29
Liam Dawson,Overseas,ALL-ROUNDER,200,28,AL4,36
Liam Livingstone,Overseas,ALL-ROUNDER,200,2,AL1,32
Luckyrajsinh Vaghela,Indian,ALL-ROUNDER,30,41,UAL9,23
Luke Wood,Overseas,BOWLER,75,22,FA3,30
Lungisani Ngidi,Overseas,BOWLER,200,14,FA2,30
M.Dheeraj Kumar,Indian,BATTER,30,23,UBA3,26
Macneil Noronha,Indian,ALL-ROUNDER,30,35,UAL5,24
Madhav Bajaj,Indian,ALL-ROUNDER,30,42,UAL10,25
Maheesh Theekshana,Overseas,BOWLER,200,5,SP1,25
Mahipal Lomror,Indian,ALL-ROUNDER,50,7,UAL1,26
Manan Bhardwaj,Indian,BOWLER,30,27,USP3,22
Manan Vohra,Indian,BATTER,30,16,UBA2,32
Mangesh Yadav,Indian,ALL-ROUNDER,30,17,UAL2,23
Mani Sankar Mura Singh,Indian,ALL-ROUNDER,30,42,UAL10,33
Manish Reddy,Indian,BOWLER,30,36,UFA5,27
Manoj Bhandage,Indian,ALL-ROUNDER,30,24,UAL3,27
Manvanth Kumar,Indian,ALL-ROUNDER,30,24,UAL3,22
Maramreddy Reddy,Indian,ALL-ROUNDER,30,39,UAL7,23
Matheesha Pathirana,Overseas,BOWLER,200,4,FA1,23
Matt Henry,Overseas,BOWLER,200,4,FA1,34
Matthew Potts,Overseas,BOWLER,75,29,FA4,27
Matthew Short,Overseas,ALL-ROUNDER,150,12,AL2,30
Mayank Agarawal,Indian,BATTER,75,11,BA2,35
Mayank Dagar,Indian,ALL-ROUNDER,30,24,UAL3,29
Mayank Gusain,Indian,ALL-ROUNDER,30,39,UAL7,24
Mayank Rawat,Indian,ALL-ROUNDER,30,17,UAL2,26
Md Shoriful Islam,Overseas,BOWLER,75,34,FA5,24
Michael Bracewell,Overseas,ALL-ROUNDER,200,12,AL2,35
Miles Hammond,Overseas,BATTER,30,30,UBA4,30
Mohamed Ali,Indian,ALL-ROUNDER,30,42,UAL10,21
Mohammad Izhar,Indian,BOWLER,30,19,UFA2,22
Mohammad Waqar Salamkheil,Overseas,BOWLER,100,15,SP2,24
Mohit Rathee,Indian,BOWLER,30,20,USP2,27
Money Grewal,Indian,BOWLER,30,26,UFA3,25
Mridul Surroch,Indian,ALL-ROUNDER,30,40,UAL8,22
Muhammad Abbas,Overseas,ALL-ROUNDER,75,28,AL4,22
Muhammed Sharafuddeen,Indian,ALL-ROUNDER,30,41,UAL9,31
Mujeeb Rahman,Overseas,BOWLER,200,5,SP1,25
Mukul Choudhary,Indian,WICKETKEEPER,30,8,UWK1,21
Murugan Ashwin,Indian,BOWLER,30,20,USP2,35
Mustafizur Rahman,Overseas,BOWLER,200,14,FA2,30
Nahid Rana,Overseas,BOWLER,75,29,FA4,23
Naman Pushpak,Indian,BOWLER,30,33,USP4,19
Naman Tiwari,Indian,BOWLER,30,9,UFA1,20
Nasir Lone,Indian,ALL-ROUNDER,30,41,UAL9,28
Nathan Smith,Overseas,ALL-ROUNDER,75,28,AL4,27
Navdeep Saini,Indian,BOWLER,75,22,FA3,33
Naveen Ul Haq,Overseas,BOWLER,200,22,FA3,26
Nikhil Chaudhary,Overseas,ALL-ROUNDER,40,35,UAL5,29
Ninad Rathva,Indian,ALL-ROUNDER,30,35,UAL5,27
Nishanth Saranu,Indian,BOWLER,30,36,UFA5,21
Nitin Sai Yadav,Indian,ALL-ROUNDER,30,40,UAL8,21
Obed McCoy,Overseas,BOWLER,75,34,FA5,29
Olly Stone,Overseas,BOWLER,125,29,FA4,32
Onkar Tarmale,Indian,BOWLER,30,19,UFA2,23
PV.Satyanarayana Raju,Indian,BOWLER,30,19,UFA2,26
Pankaj Jaswal,Indian,BOWLER,30,32,UFA4,30
Parikshit Dhanak,Indian,BOWLER,30,27,USP3,23
Parikshit Valsangkar,Indian,ALL-ROUNDER,30,42,UAL10,31
Parth Rekhade,Indian,ALL-ROUNDER,30,37,UAL6,26
Parth Vats,Indian,ALL-ROUNDER,30,40,UAL8,22
Pathum Nissanka,Overseas,BATTER,75,11,BA2,27
Praful Hinge,Indian,BOWLER,30,32,UFA4,24
Prashant Solanki,Indian,BOWLER,30,10,USP1,26
Prashant Veer,Indian,ALL-ROUNDER,30,7,UAL1,20
Pravin Dubey,Indian,BOWLER,30,20,USP2,32
Prerit Dutta,Indian,ALL-ROUNDER,30,41,UAL9,27
Prince Rai,Indian,ALL-ROUNDER,30,31,UAL4,26
Prithvi Shaw,Indian,BATTER,75,1,BA1,26
Prithviraj Yarra,Indian,BOWLER,30,19,UFA2,28
Pukhraj Mann,Indian,BATTER,30,16,UBA2,24
Purav Agarwal,Indian,BOWLER,30,33,USP4,22
Qais Ahmad,Overseas,BOWLER,75,15,SP2,25
Qamran Iqbal,Indian,BATTER,30,23,UBA3,24
Quinton De Kock,Overseas,WICKETKEEPER,100,3,WK1,33
R Rajkumar,Indian,ALL-ROUNDER,30,35,UAL5,32
R.S Ambrish,Indian,ALL-ROUNDER,30,35,UAL5,18
R.Sonu Yadav,Indian,ALL-ROUNDER,30,35,UAL5,26
Rachin Ravindra,Overseas,ALL-ROUNDER,200,2,AL1,26
Raghav Goyal,Indian,ALL-ROUNDER,30,24,UAL3,24
Rahmanullah Gurbaz,Overseas,WICKETKEEPER,150,3,WK1,24
Rahul Buddhi,Indian,WICKETKEEPER,30,18,UWK2,28
Rahul Chahar,Indian,BOWLER,100,5,SP1,26
Rahul Raj Namala,Indian,BATTER,30,30,UBA4,25
Rahul Tripathi,Indian,BATTER,75,11,BA2,35
Raj Limbani,Indian,BOWLER,30,9,UFA1,21
Rajan Kumar,Indian,BOWLER,30,32,UFA4,29
Rajat Verma,Indian,BOWLER,30,36,UFA5,28
Rajesh Mohanty,Indian,BOWLER,30,38,UFA6,25
Rajvardhan Hangargekar,Indian,ALL-ROUNDER,40,7,UAL1,23
Rakibul Hasan,Overseas,BOWLER,30,33,USP4,23
Ravi Bishnoi,Indian,BOWLER,200,5,SP1,25
Ravi Kumar,Indian,BOWLER,30,32,UFA4,22
Ravi Singh,Indian,WICKETKEEPER,30,18,UWK2,24
Reeza Hendricks,Overseas,BATTER,100,11,BA2,36
Rehan Ahmed,Overseas,ALL-ROUNDER,75,21,AL3,21
Richard Gleeson,Overseas,BOWLER,75,22,FA3,38
Ricky Bhui,Indian,WICKETKEEPER,30,18,UWK2,29
Riley Meredith,Overseas,BOWLER,150,22,FA3,29
Ripal Patel,Indian,ALL-ROUNDER,30,31,UAL4,30
Rishabh Chauhan,Indian,ALL-ROUNDER,30,42,UAL10,26
Rishad Hossain,Overseas,BOWLER,75,15,SP2,23
Ritik Tada,Indian,ALL-ROUNDER,30,41,UAL9,23
Rohan Kunnummal,Indian,BATTER,30,16,UBA2,27
Rohit Yadav,Indian,BOWLER,30,36,UFA5,26
Roshan Wagshare,Indian,BOWLER,30,33,USP4,22
Roston Chase,Overseas,ALL-ROUNDER,125,28,AL4,34
Ruchit Ahir,Indian,WICKETKEEPER,30,8,UWK1,25
Sabir Khan,Indian,BOWLER,30,38,UFA6,25
Sachin Dhas,Indian,BATTER,30,30,UBA4,21
Sadek Hussain,Indian,BOWLER,30,38,UFA6,24
Safvan Patel,Indian,BOWLER,30,32,UFA4,27
Sagar Solanki,Indian,ALL-ROUNDER,30,39,UAL7,25
